,Date,Convex Finance,Convex Finance (Staking),Daily % Change,Cumulative Sum %
34,2021-06-20,3529602909.09091,,0.01180746483610573,5.2802346690716995
35,2021-06-21,2930295484.24864,,-0.16979457470943338,5.110440094362266
36,2021-06-22,3008795327.90767,,0.026789053896098203,5.137229148258364
37,2021-06-23,3225069304.4124,,0.07188058772184003,5.2091097359802045
38,2021-06-24,3373918772.01001,,0.046153881838743915,5.255263617818948
39,2021-06-25,3633228448.19321,,0.07685711888929592,5.332120736708244
40,2021-06-26,3609252807.36864,,-0.006598990723111098,5.325521745985133
41,2021-06-27,3727460213.99158,,0.03275121276670023,5.358272958751834
42,2021-06-28,3856425314.02602,,0.034598652334463686,5.3928716110862975
43,2021-06-29,4028711230.99158,,0.044675030095603585,5.437546641181902
44,2021-06-30,4085109670.07133,,0.01399912672963377,5.451545767911536
45,2021-01-07,4041187843.79182,,-0.01075168840662799,5.440794079504908
46,2021-02-07,4072755273.03564,,0.0078114233893666896,5.448605502894274
47,2021-03-07,4116831558.59574,,0.010822227854424327,5.459427730748699
48,2021-04-07,4216539064.96858,,0.02421947678783587,5.483647207536535
49,2021-05-07,4200331514.33832,,-0.0038438042149102625,5.4798034033216245
50,2021-06-07,3925908729.70574,,-0.06533360133499122,5.414469801986633
51,2021-07-07,3895450284.43176,,-0.0077583172129075395,5.406711484773726
52,2021-08-07,3930416442.75211,,0.008976153144629517,5.415687637918355
53,2021-09-07,4231607734.07192,,0.07663088522724415,5.492318523145599
54,2021-10-07,4152579150.06842,,-0.018675782106923666,5.473642741038676
55,2021-11-07,4211631384.3645,,0.014220616191050084,5.487863357229726
56,2021-12-07,3979150409.75684,,-0.05519974408746586,5.43266361314226
57,2021-07-13,3904809628.06319,,-0.018682576439273957,5.413981036702986
58,2021-07-14,3887358903.26357,,-0.0044690334387123,5.409512003264274
59,2021-07-15,3669537717.84612,,-0.05603320682188151,5.353478796442392
60,2021-07-16,3634633106.93073,,-0.009511991318589819,5.343966805123802
61,2021-07-17,3561575513.3509,,-0.02010040392812118,5.323866401195681
62,2021-07-18,3580556622.83424,,0.0053294137418080645,5.3291958149374885
63,2021-07-19,3651703543.84591,,0.019870352156406534,5.349066167093895
64,2021-07-20,3585291970.01515,,-0.018186463669177422,5.330879703424717
65,2021-07-21,3739392718.6851,,0.04298136663868379,5.373861070063401
66,2021-07-22,3848912524.29575,,0.029288126134331627,5.403149196197733
67,2021-07-23,3970674878.29873,,0.03163552126331037,5.434784717461043
68,2021-07-24,4077128431.83988,,0.026809939570464403,5.461594657031507
69,2021-07-25,4106878836.97103,,0.00729690163763741,5.468891558669145
70,2021-07-26,4374347179.04123,,0.06512691332950737,5.534018471998652
71,2021-07-27,4455789101.32188,,0.018618074639997095,5.55263654663865
72,2021-07-28,4410703355.38123,,-0.010118464971170749,5.542518081667479
73,2021-07-29,4430284129.888,,0.004439376881439916,5.546957458548919
74,2021-07-30,4511508770.15693,,0.0183339573462038,5.565291415895123
75,2021-07-31,4546063816.85882,,0.00765931054605673,5.57295072644118
76,2021-01-08,4548353316.06788,,0.0005036223206038581,5.573454348761784
77,2021-02-08,4565926459.26987,,0.0038636275550341104,5.577317976316818
78,2021-03-08,4542540038.50446,,-0.005121944248122845,5.572196032068695
79,2021-04-08,4605454596.51765,,0.01385008331900206,5.586046115387697
80,2021-05-08,4678511262.54664,,0.015863073774352587,5.60190918916205
81,2021-06-08,4745883882.77944,,0.014400439894661554,5.616309629056711
82,2021-07-08,4968221007.32774,,0.04684841223255698,5.663158041289268
83,2021-08-08,4949460230.94479,,-0.0037761557618469777,5.659381885527421
84,2021-09-08,5059578803.6211,,0.022248602380484206,5.681630487907905
85,2021-10-08,5105395334.2706,,0.00905540410136707,5.690685892009272
86,2021-11-08,5118245583.11003,,0.0025169938855020835,5.693202885894774
87,2021-12-08,5084909396.37959,,-0.006513205782944009,5.686689680111829
88,2021-08-13,5456139649.20739,,0.07300626695376566,5.759695947065595
89,2021-08-14,5463802432.57505,,0.001404433145103523,5.761100380210698
90,2021-08-15,5575218941.86271,,0.02039175293443951,5.781492133145138
91,2021-08-16,5489397717.62928,,-0.015393337038124733,5.766098796107013
92,2021-08-17,5372579179.34228,,-0.021280756887378627,5.744818039219634
93,2021-08-18,5411830544.89689,,0.007305870094112654,5.752123909313747
94,2021-08-19,6234906456.75124,,0.1520882638556511,5.904212173169398
95,2021-08-20,6423762433.34574,,0.030290105858766347,5.934502279028164
96,2021-08-21,6466997562.48651,,0.006730499390253941,5.941232778418418
97,2021-08-22,6510629984.07734,,0.006746936452231012,5.947979714870649
98,2021-08-23,6675162485.39523,,0.02527136417217335,5.973251079042822
99,2021-08-24,6631109632.34836,,-0.006599517711105118,5.966651561331718
100,2021-08-25,6662807341.55245,,0.004780151582694403,5.971431712914412
101,2021-08-26,6564214258.49157,,-0.014797528730270515,5.956634184184141
102,2021-08-27,6735116819.53226,,0.026035494015084426,5.982669678199225
103,2021-08-28,6894001769.02722,,0.023590526156010094,6.006260204355235
104,2021-08-29,7059507263.27223,,0.02400717316154166,6.030267377516777
105,2021-08-30,6972681683.79027,,-0.012299099107621725,6.017968278409155
106,2021-08-31,7238264498.17677,,0.038089049010212817,6.056057327419368
107,2021-01-09,7595899262.57281,,0.049408910725233124,6.105466238144601
108,2021-02-09,7644921035.17433,,0.006453715472908295,6.111919953617509
109,2021-03-09,7759248718.83628,,0.014954723944947013,6.126874677562456
110,2021-04-09,7820472095.36241,,0.00789037428037398,6.13476505184283
111,2021-05-09,7981826971.81862,,0.020632370333741656,6.155397422176572
112,2021-06-09,8008061727.53429,,0.0032868108777974747,6.15868423305437
113,2021-07-09,7363952943.16388,,-0.08043254488857854,6.078251688165791
114,2021-08-09,7574425150.0653,,0.028581416601365595,6.106833104767157
115,2021-09-09,7362699448.5877,,-0.027952708922838188,6.078880395844319
116,2021-10-09,7042124449.97113,,-0.04354041623661031,6.035339979607708
117,2021-11-09,7167311027.62898,,0.017776819842819203,6.053116799450527
118,2021-12-09,7262049592.91989,,0.013218146237230055,6.066334945687757
119,2021-09-13,7230199437.84664,,-0.004385835522839554,6.061949110164917
120,2021-09-14,7611806438.43584,,0.05277959534444787,6.114728705509365
121,2021-09-15,7903142334.51111,,0.038274212360967175,6.1530029178703325
122,2021-09-16,8070706657.16173,,0.021202240268267225,6.1742051581386
123,2021-09-17,8084077472.03163,,0.0016567093115738007,6.175861867450173
124,2021-09-18,7950525019.99289,,-0.01652043198507047,6.159341435465103
125,2021-09-19,8029501235.73568,,0.009933459179637838,6.16927489464474
126,2021-09-20,7533086219.88414,,-0.06182389183056858,6.107451002814171
127,2021-09-21,7209786368.09355,,-0.04291731733233273,6.064533685481838
128,2021-09-22,7602542078.88483,,0.05447536039755585,6.119009045879395
129,2021-09-23,7891562961.76022,,0.03801634767377493,6.15702539355317
130,2021-09-24,7620926227.95101,,-0.03429444016611438,6.122730953387055
131,2021-09-25,7639022105.46502,,0.002374498449760676,6.125105451836816
132,2021-09-26,7798026820.23198,,0.020814799665680672,6.145920251502497
133,2021-09-27,7764017862.31543,,-0.004361226076872948,6.141559025425624
134,2021-09-28,7665461528.2446,,-0.012693986002942692,6.128865039422681
135,2021-09-29,7675205948.17085,,0.001271211118905935,6.130136250541588
136,2021-09-30,7934980624.96735,,0.03384595521614764,6.163982205757735
137,2021-01-10,8374590262.72617,,0.05540147588711064,6.219383681644846
138,2021-02-10,8528039374.06198,,0.018323178391041584,6.237706860035887
139,2021-03-10,8648635457.5692,,0.01414112649081023,6.251847986526697
140,2021-04-10,8797391147.98764,,0.01719990293824325,6.26904788946494
141,2021-05-10,9117641440.2124,,0.03640287067354242,6.305450760138482
142,2021-06-10,9145432865.4209,,0.0030480936754024857,6.308498853813885
143,2021-07-10,9296420398.24677,,0.016509610321098878,6.325008464134983
144,2021-08-10,9214160070.30608,,-0.00884860241004215,6.316159861724941
145,2021-09-10,9323100600.29175,,0.011823164472337222,6.327983026197279
146,2021-10-10,9454102810.61676,,0.014051356511256552,6.342034382708535
147,2021-11-10,9494845797.26831,,0.004309556122638725,6.346343938831174
148,2021-12-10,9779662555.1073,,0.02999698614599211,6.376340924977166
149,2021-10-13,9961097598.71629,,0.018552280570686808,6.394893205547852
150,2021-10-14,10453065810.5039,,0.049388956077592416,6.444282161625445
151,2021-10-15,10629712992.5268,,0.016899078722473204,6.461181240347918
152,2021-10-16,10890324991.5669,,0.024517312859088758,6.485698553207007
153,2021-10-17,10682851587.7802,,-0.019051167338657193,6.46664738586835
154,2021-10-18,10799591923.5004,,0.010927825287186277,6.477575211155536
155,2021-10-19,10772559919.7925,,-0.00250305788398153,6.4750721532715545
156,2021-10-20,11119424787.9469,,0.03219892678592595,6.50727108005748
157,2021-10-21,11702000307.2004,,0.05239259497352711,6.559663675031008
158,2021-10-22,11584808433.7604,,-0.010014687264013222,6.549648987766995
159,2021-10-23,11604661421.4256,,0.0017137087573535492,6.5513626965243486
160,2021-10-24,11933851875.0126,,0.028367088158144593,6.579729784682494
161,2021-10-25,11896819293.8784,,-0.0031031540798439616,6.576626630602649
162,2021-10-26,12641231175.2567,,0.06257234501000974,6.6391989756126595
163,2021-10-27,12626467494.7699,,-0.001167898939756662,6.6380310766729025
164,2021-10-28,12440013766.9424,,-0.014766895642406075,6.623264181030496
165,2021-10-29,13494181425.7922,,0.0847400717233211,6.708004252753817
166,2021-10-30,13710769433.4187,,0.016050473962986977,6.724054726716804
167,2021-10-31,13875973838.6556,,0.012049243920201125,6.736103970637005
168,2021-01-11,13862916336.4881,,-0.0009410151906689146,6.735162955446336
169,2021-02-11,14108613412.6612,,0.01772333253764291,6.752886287983979
170,2021-03-11,14494676945.4194,,0.027363676462475173,6.780249964446455
171,2021-04-11,14499615734.8475,,0.0003407312523555639,6.780590695698811
172,2021-05-11,14280232667.515,,-0.015130267680490861,6.7654604280183195
173,2021-06-11,14336389101.7777,,0.003932459335235228,6.769392887353555
174,2021-07-11,14578876518.5478,,0.016914120776760466,6.786307008130315
175,2021-08-11,15228699945.4485,,0.044572942645749736,6.8308799507760645
176,2021-09-11,15438897593.5255,,0.013802730950768005,6.844682681726832
177,2021-10-11,15257840940.4481,,-0.011727304490531054,6.832955377236301
178,2021-11-11,15416211105.773,,0.010379592102383706,6.8433349693386845
179,2021-12-11,15604635694.5219,,0.012222496659917814,6.8555574659986025
180,2021-11-13,15645839379.4435,,0.0026404772099912766,6.8581979432085935
181,2021-11-14,15996995385.8857,,0.022444050327115717,6.8806419935357095
182,2021-11-15,16014070170.4404,,0.0010673744751945602,6.881709368010904
183,2021-11-16,15693332521.3977,,-0.020028490298158785,6.861680877712746
184,2021-11-17,15076726596.4717,,-0.039290948820797755,6.822389928891948
185,2021-11-18,15416173771.5718,,0.022514646858392773,6.84490457575034
186,2021-11-19,15033317664.932,,-0.024834703624436738,6.820069872125904
187,2021-11-20,15407834667.107,,0.024912465133935857,6.8449823372598395
188,2021-11-21,15575054955.4983,,0.010852938910896226,6.855835276170736
189,2021-11-22,15242623975.7636,,-0.021343807818626437,6.83449146835211
190,2021-11-23,15145434697.0288,,-0.006376151434906219,6.828115316917204
191,2021-11-24,15534233985.2938,,0.02567105507650269,6.853786371993706
192,2021-11-25,15491090784.8569,,-0.002777298222605973,6.851009073771101
193,2021-11-26,16081427209.6797,,0.038108125052102704,6.889117198823204
194,2021-11-27,15248115490.9404,,-0.051818268855995386,6.837298929967209
195,2021-11-28,15288839419.7435,,0.002670751597290577,6.839969681564499
196,2021-11-29,15768078528.9124,,0.03134568269125948,6.871315364255759
197,2021-11-30,15986853588.776,,0.013874554179981624,6.88518991843574
198,2021-01-12,16386318616.2573,,0.0249870948816191,6.91017701331736
199,2021-02-12,16261897249.5941,,-0.007593003015317734,6.902584010302042
200,2021-03-12,16162944267.583,,-0.00608495924505803,6.896499051056984
201,2021-04-12,15618663296.2056,,-0.033674617839834387,6.862824433217149
202,2021-05-12,14998282513.8491,,-0.039720478672923054,6.8231039545442265
203,2021-06-12,15185023093.6238,,0.012450797589808493,6.835554752134035
204,2021-07-12,15693209523.3848,,0.03346629284840441,6.869021044982439
205,2021-08-12,15922540338.5881,,0.014613378790461429,6.8836344237729
206,2021-09-12,16169211054.6903,,0.015491919684724964,6.899126343457625
207,2021-10-12,15845104974.8156,,-0.02004464403231876,6.879081699425306
208,2021-11-12,15529718691.4666,,-0.019904335367312398,6.859177364057994
209,2021-12-12,15963157610.5878,,0.02791028786370542,6.8870876519217
210,2021-12-13,16265792334.6074,,0.018958324624877232,6.906045976546578
211,2021-12-14,15662214403.3796,,-0.03710719519906924,6.8689387813475085
212,2021-12-15,15585478054.6045,,-0.004899457177558686,6.8640393241699496
213,2021-12-16,15772233125.7427,,0.011982633479954652,6.876021957649904
214,2021-12-17,15933900563.4311,,0.010250129857929613,6.886272087507834
215,2021-12-18,16083236069.9608,,0.0093721876784163,6.89564427518625
216,2021-12-19,16543127541.2145,,0.028594461292068996,6.924238736478319
217,2021-12-20,16481521952.691,,-0.003723938437276808,6.920514798041042
218,2021-12-21,16470446052.972,,-0.0006720192316457263,6.919842778809397
219,2021-12-22,16885206661.1665,,0.025182111453481815,6.945024890262879
220,2021-12-23,17623994381.8887,,0.043753549218991994,6.98877843948187
221,2021-12-24,18209807764.6853,,0.03323953526668233,7.022017974748553
222,2021-12-25,18017225530.575,,-0.010575742292226575,7.011442232456327
223,2021-12-26,18726565765.9529,,0.03937011468131746,7.0508123471376445
224,2021-12-27,18844228442.203,,0.006283195633447258,7.0570955427710915
225,2021-12-28,19280636199.6053,,0.02315869597637299,7.0802542387474645
226,2021-12-29,19021444895.7248,,-0.013443088765183298,7.066811149982281
227,2021-12-30,19139936182.038,,0.006229352552488354,7.07304050253477
228,2021-12-31,19189306450.1074,,0.002579437444296895,7.075619939979067
229,2022-01-01,19932943632.4446,,0.03875268677743371,7.1143726267565
230,2022-02-01,20368198209.4772,,0.021835940795224218,7.136208567551725
231,2022-03-01,20531480128.0957,,0.008016512650712793,7.144225080202437
232,2022-04-01,20753152493.7289,,0.010796706533098943,7.155021786735536
233,2022-05-01,21166711170.8119,,0.01992751111947766,7.174949297855013
234,2022-06-01,20412243860.3751,,-0.03564404995884218,7.139305247896171
235,2022-07-01,20174383032.6706,,-0.011652850579854213,7.127652397316317
236,2022-08-01,19836427990.2163,,-0.01675169158367873,7.1109007057326385
237,2022-09-01,19431184022.0481,,-0.020429281338760985,7.090471424393877
238,2022-10-01,18425698302.5521,,-0.05174598307314149,7.038725441320736
239,2022-11-01,18362535949.7018,,-0.0034279489337754043,7.0352974923869604
240,2022-12-01,18791764137.5293,,0.02337521293372724,7.058672705320688
