,Date,Curve,Curve-ETH,Daily % Change,Cumulative Sum %,Non ETH Curve TVL
386,2021-01-03,3720502564.45,3720502564.45,-0.03231298321612541,20.34653131063785,0.0
387,2021-02-03,3914069348.71,3914069348.71,0.052027053041049376,20.398558363678898,0.0
388,2021-03-03,3856185576.59,3856185576.59,-0.014788642449341638,20.383769721229555,0.0
389,2021-04-03,4093039845.48,4093039845.48,0.06142190622979515,20.44519162745935,0.0
390,2021-05-03,3978168117.89,3978168117.89,-0.028065137874691004,20.41712648958466,0.0
391,2021-06-03,3958658396.23,3958658396.23,-0.004904197379759778,20.412222292204902,0.0
392,2021-07-03,3943276925.03,3943276925.03,-0.0038855262718925365,20.408336765933008,0.0
393,2021-08-03,3469160074.34,3469160074.34,-0.12023422643247228,20.288102539500535,0.0
394,2021-09-03,3614676054.98,3614676054.98,0.04194559418469157,20.330048133685228,0.0
395,2021-10-03,3793983083.77,3793983083.77,0.0496052830357967,20.379653416721023,0.0
396,2021-11-03,4047709087.76,4047709087.76,0.06687589227147472,20.4465293089925,0.0
397,2021-12-03,4125552812.27,4125552812.27,0.019231551186668527,20.465760860179167,0.0
398,2021-03-13,4281048706.91,4281048706.91,0.037690923305485846,20.503451783484653,0.0
399,2021-03-14,4488911557.43,4488911557.43,0.04855418958081259,20.552005973065466,0.0
400,2021-03-15,4324754109.6,4324754109.6,-0.03656954380361721,20.51543642926185,0.0
401,2021-03-16,4345733942.54,4345733942.54,0.004851104226579972,20.520287533488432,0.0
402,2021-03-17,4369294723.57,4369294723.57,0.005421588468489835,20.525709121956922,0.0
403,2021-03-18,4436512912.47,4436512912.47,0.015384219457065917,20.541093341413987,0.0
404,2021-03-19,4546287152.04,4546287152.04,0.024743360773604506,20.565836702187593,0.0
405,2021-03-20,4554269677.52,4554269677.52,0.0017558339834338188,20.567592536171027,0.0
406,2021-03-21,4601336701.49,4601336701.49,0.01033470288382854,20.577927239054855,0.0
407,2021-03-22,4513020227.32,4513020227.32,-0.019193656082894694,20.55873358297196,0.0
408,2021-03-23,4399935372.27,4399935372.27,-0.02505746691881172,20.533676116053147,0.0
409,2021-03-24,4332628421.66,4332628421.66,-0.015297258917527201,20.51837885713562,0.0
410,2021-03-25,4215433199.14,4215433199.14,-0.02704945153711058,20.49132940559851,0.0
411,2021-03-26,4210726105.29,4210726105.29,-0.0011166334816929968,20.490212772116816,0.0
412,2021-03-27,4397156642.29,4397156642.29,0.0442751516812705,20.534487923798086,0.0
413,2021-03-28,4460948783.46,4460948783.46,0.014507588962484164,20.54899551276057,0.0
414,2021-03-29,4510908731.84,4510908731.84,0.011199399680453137,20.560194912441023,0.0
415,2021-03-30,4644638853.66,4644638853.66,0.029645938273162864,20.589840850714186,0.0
416,2021-03-31,4704047228.91,4704047228.91,0.012790741567169528,20.602631592281355,0.0
417,2021-01-04,4765201924.82,4765201924.82,0.013000442583602778,20.61563203486496,0.0
418,2021-02-04,4829981879.03,4829981879.03,0.013594377579801531,20.62922641244476,0.0
419,2021-03-04,4987937995.73,4987937995.73,0.03270325244609862,20.661929664890856,0.0
420,2021-04-04,4916309951.02,4916309951.02,-0.014360251625284315,20.647569413265572,0.0
421,2021-05-04,5005195068.23,5005195068.23,0.018079640644210748,20.66564905390978,0.0
422,2021-06-04,5126374256.48148,5126374256.48148,0.024210682420881646,20.689859736330664,0.0
423,2021-07-04,5118877259.79578,5118877259.79578,-0.0014624364727605643,20.688397299857904,0.0
424,2021-08-04,5162317546.55151,5162317546.55151,0.00848629192516781,20.69688359178307,0.0
425,2021-09-04,5349432509.43479,5349432509.43479,0.03624631014964885,20.73312990193272,0.0
426,2021-10-04,5356967304.85579,5356967304.85579,0.0014085223820865522,20.734538424314806,0.0
427,2021-11-04,5542036067.30408,5542036067.30408,0.034547301097121785,20.769085725411927,0.0
428,2021-12-04,5492503462.11554,5492503462.11554,-0.008937618699518035,20.760148106712407,0.0
429,2021-04-13,5714420300.08443,5714420300.08443,0.040403586360856725,20.800551693073263,0.0
430,2021-04-14,5946723184.64955,5946723184.64955,0.040652047340950404,20.841203740414215,0.0
431,2021-04-15,6463202441.54596,6463202441.54596,0.08685106753070548,20.92805480794492,0.0
432,2021-04-16,6516480559.32716,6516480559.32716,0.008243300169390233,20.93629810811431,0.0
433,2021-04-17,6458931504.69002,6458931504.69002,-0.008831309188020109,20.92746679892629,0.0
434,2021-04-18,6391390320.90898,6391390320.90898,-0.01045702121658909,20.9170097777097,0.0
435,2021-04-19,6235998371.33713,6235998371.33713,-0.02431269907949407,20.892697078630206,0.0
436,2021-04-20,6199709287.9471,6199709287.9471,-0.005819290068584282,20.886877788561623,0.0
437,2021-04-21,6302518780.02209,6302518780.02209,0.016582953699920022,20.903460742261544,0.0
438,2021-04-22,6311840840.65473,6311840840.65473,0.0014791008100110137,20.904939843071556,0.0
439,2021-04-23,6271812980.14297,6271812980.14297,-0.00634170941921397,20.898598133652342,0.0
440,2021-04-24,6245037193.36609,6245037193.36609,-0.004269225957734157,20.894328907694607,0.0
441,2021-04-25,6140080998.8344,6140080998.8344,-0.016806336180540504,20.877522571514067,0.0
442,2021-04-26,6224359928.77484,6224359928.77484,0.01372602901434683,20.891248600528414,0.0
443,2021-04-27,6579205378.551,6579205378.551,0.057009146938262756,20.948257747466677,0.0
444,2021-04-28,6678170157.26051,6678170157.26051,0.015042056451398889,20.963299803918076,0.0
445,2021-04-29,6711088161.30013,6711088161.30013,0.004929195163413391,20.96822899908149,0.0
446,2021-04-30,6847674429.64713,6847674429.64713,0.020352328126850283,20.98858132720834,0.0
447,2021-01-05,6900848395.7507,6900848395.7507,0.007765259089034915,20.996346586297374,0.0
448,2021-02-05,7092682274.37523,7092682274.37523,0.027798593393626003,21.024145179691,0.0
449,2021-03-05,7086864357.82733,7086864357.82733,-0.0008202702902566639,21.023324909400745,0.0
450,2021-04-05,7517159047.13995,7517159047.13995,0.06071721816396369,21.084042127564707,0.0
451,2021-05-05,7390903681.70273,7390903681.70273,-0.0167956224745911,21.067246505090118,0.0
452,2021-06-05,7801070415.86267,7801070415.86267,0.05549615470911462,21.122742659799233,0.0
453,2021-07-05,7815798861.77327,7815798861.77327,0.0018880032002597247,21.124630662999493,0.0
454,2021-08-05,8328200795.95775,8328200795.95775,0.06555976468261182,21.190190427682104,0.0
455,2021-09-05,8891633794.18077,8891633794.18077,0.06765362795965402,21.25784405564176,0.0
456,2021-10-05,8987791355.85708,8987791355.85708,0.010814386186174252,21.26865844182793,0.0
457,2021-11-05,8910695942.33029,8910695942.33029,-0.008577792972079834,21.26008064885585,0.0
458,2021-12-05,9212814563.48602,9212814563.48602,0.03390516555732903,21.29398581441318,0.0
459,2021-05-13,8591420515.80953,8591420515.80953,-0.0674488825748557,21.226536931838325,0.0
460,2021-05-14,9248418990.76478,9248418990.76478,0.07647146053976428,21.30300839237809,0.0
