"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 06, 2022","150.336","154.483","154.721","146.344","2.91M","-2.72%"
"Jan 05, 2022","154.540","167.753","171.253","145.013","3.09M","-7.88%"
"Jan 04, 2022","167.767","170.084","173.867","166.560","1.65M","-1.34%"
"Jan 03, 2022","170.039","176.354","176.443","166.897","1.65M","-3.59%"
"Jan 02, 2022","176.367","179.083","179.496","174.428","1.08M","-1.51%"
"Jan 01, 2022","179.068","169.985","179.176","169.985","1.30M","5.34%"
"Dec 31, 2021","169.985","172.509","177.604","167.773","2.05M","-1.45%"
"Dec 30, 2021","172.482","170.602","175.697","168.382","1.86M","1.09%"
"Dec 29, 2021","170.626","177.191","180.581","170.434","2.59M","-3.68%"
"Dec 28, 2021","177.151","195.602","195.602","176.793","3.64M","-9.45%"
"Dec 27, 2021","195.645","197.801","204.712","194.865","1.90M","-1.07%"
"Dec 26, 2021","197.754","193.019","200.537","190.376","2.19M","2.40%"
"Dec 25, 2021","193.127","190.493","195.052","189.224","1.78M","1.49%"
"Dec 24, 2021","190.285","190.075","197.422","184.463","2.80M","0.13%"
"Dec 23, 2021","190.047","178.411","193.442","175.770","2.93M","6.53%"
"Dec 22, 2021","178.406","179.736","187.539","177.145","2.80M","-0.75%"
"Dec 21, 2021","179.745","173.862","182.392","170.286","2.40M","3.43%"
"Dec 20, 2021","173.785","179.956","181.085","168.500","2.63M","-3.52%"
"Dec 19, 2021","180.125","182.822","189.160","178.573","1.93M","-1.50%"
"Dec 18, 2021","182.861","175.562","184.272","171.065","1.98M","4.14%"
"Dec 17, 2021","175.586","176.926","182.357","168.149","3.77M","-0.75%"
"Dec 16, 2021","176.904","178.522","189.008","174.478","3.94M","-0.90%"
"Dec 15, 2021","178.506","161.303","182.590","157.183","5.55M","10.67%"
"Dec 14, 2021","161.299","155.259","162.906","149.821","3.91M","3.93%"
"Dec 13, 2021","155.203","172.906","172.951","148.384","4.69M","-10.25%"
"Dec 12, 2021","172.924","172.204","176.854","167.728","1.77M","0.70%"
"Dec 11, 2021","171.728","167.475","173.801","161.587","2.80M","2.47%"
"Dec 10, 2021","167.596","181.267","184.440","167.446","3.20M","-7.59%"
"Dec 09, 2021","181.363","194.624","196.636","178.746","3.01M","-6.80%"
"Dec 08, 2021","194.596","190.226","196.235","184.001","3.38M","2.29%"
"Dec 07, 2021","190.236","193.874","204.025","187.958","3.68M","-1.92%"
"Dec 06, 2021","193.963","196.475","197.646","176.649","4.88M","-1.26%"
"Dec 05, 2021","196.444","201.093","204.309","182.027","4.19M","-2.31%"
"Dec 04, 2021","201.088","211.854","212.584","175.186","6.98M","-5.17%"
"Dec 03, 2021","212.047","233.765","239.426","205.628","4.84M","-9.30%"
"Dec 02, 2021","233.785","229.862","243.069","220.150","4.76M","1.72%"
"Dec 01, 2021","229.829","208.486","232.452","207.999","4.50M","10.27%"
"Nov 30, 2021","208.423","204.139","218.252","199.780","3.65M","2.10%"
"Nov 29, 2021","204.135","200.850","212.787","199.789","2.82M","1.63%"
"Nov 28, 2021","200.854","192.976","201.979","181.285","2.67M","4.04%"
"Nov 27, 2021","193.061","192.184","199.403","190.811","1.93M","0.56%"
"Nov 26, 2021","191.991","210.017","210.417","183.084","4.57M","-8.55%"
"Nov 25, 2021","209.952","205.854","216.366","202.028","2.90M","1.98%"
"Nov 24, 2021","205.877","221.837","222.244","200.225","3.12M","-7.21%"
"Nov 23, 2021","221.885","215.839","226.021","211.232","2.65M","2.79%"
"Nov 22, 2021","215.854","231.410","231.983","211.950","3.97M","-6.72%"
"Nov 21, 2021","231.414","217.824","235.389","210.695","3.15M","6.23%"
"Nov 20, 2021","217.833","215.282","221.152","206.068","2.47M","1.19%"
"Nov 19, 2021","215.274","195.145","219.691","189.571","4.45M","10.30%"
"Nov 18, 2021","195.164","218.932","222.755","187.176","5.62M","-10.85%"
"Nov 17, 2021","218.918","219.048","221.947","210.105","3.63M","-0.07%"
"Nov 16, 2021","219.062","238.213","238.213","214.824","4.30M","-8.03%"
"Nov 15, 2021","238.187","238.679","246.211","234.454","3.03M","-0.20%"
"Nov 14, 2021","238.667","241.659","241.925","230.506","1.96M","-1.25%"
"Nov 13, 2021","241.684","228.551","241.939","225.006","2.43M","5.75%"
"Nov 12, 2021","228.551","233.498","238.996","220.997","3.36M","-2.15%"
"Nov 11, 2021","233.576","233.635","246.427","229.543","3.19M","-0.05%"
"Nov 10, 2021","233.686","239.041","247.956","217.998","4.79M","-2.23%"
"Nov 09, 2021","239.027","248.376","253.164","237.809","3.52M","-3.78%"
"Nov 08, 2021","248.419","249.673","253.269","240.742","3.75M","-0.49%"
"Nov 07, 2021","249.644","258.480","258.581","245.752","2.96M","-3.42%"
"Nov 06, 2021","258.477","236.119","259.861","234.879","4.44M","9.46%"
"Nov 05, 2021","236.147","247.150","248.256","230.598","3.43M","-4.45%"
"Nov 04, 2021","247.144","243.113","250.208","234.909","5.46M","1.59%"
"Nov 03, 2021","243.272","220.764","246.379","216.067","7.93M","10.24%"
"Nov 02, 2021","220.678","203.471","222.222","201.147","4.46M","8.47%"
"Nov 01, 2021","203.454","202.565","211.495","198.093","4.78M","0.44%"
"Oct 31, 2021","202.573","195.806","204.991","185.688","3.64M","3.45%"
"Oct 30, 2021","195.813","200.262","200.489","187.531","2.50M","-2.20%"
"Oct 29, 2021","200.224","194.795","204.975","194.684","3.75M","2.86%"
"Oct 28, 2021","194.659","184.451","201.385","181.906","5.36M","5.57%"
"Oct 27, 2021","184.397","199.866","205.465","178.226","7.41M","-7.68%"
"Oct 26, 2021","199.744","209.714","213.993","196.706","4.86M","-4.75%"
"Oct 25, 2021","209.698","202.259","218.939","198.189","6.89M","3.61%"
"Oct 24, 2021","202.394","197.765","204.825","185.385","5.12M","2.34%"
"Oct 23, 2021","197.776","196.267","205.692","192.486","4.62M","0.82%"
"Oct 22, 2021","196.174","190.428","214.972","188.115","11.75M","3.02%"
"Oct 21, 2021","190.429","176.805","193.871","176.805","11.01M","7.70%"
"Oct 20, 2021","176.810","155.857","176.810","155.210","5.43M","13.44%"
"Oct 19, 2021","155.857","157.189","159.393","153.148","2.52M","-0.87%"
"Oct 18, 2021","157.217","160.097","162.920","155.015","3.01M","-1.79%"
"Oct 17, 2021","160.077","157.416","167.492","153.364","4.00M","1.70%"
"Oct 16, 2021","157.403","163.157","164.702","156.736","2.65M","-3.53%"
"Oct 15, 2021","163.171","150.020","165.347","146.991","7.13M","8.79%"
"Oct 14, 2021","149.980","148.056","155.501","147.308","3.80M","1.25%"
"Oct 13, 2021","148.125","152.496","155.406","144.419","3.93M","-2.88%"
"Oct 12, 2021","152.518","144.858","153.403","137.730","5.65M","5.27%"
"Oct 11, 2021","144.889","147.698","153.983","140.464","3.59M","-1.93%"
"Oct 10, 2021","147.738","156.778","158.478","145.953","2.91M","-5.75%"
"Oct 09, 2021","156.755","158.631","161.410","154.685","2.87M","-1.16%"
"Oct 08, 2021","158.589","154.215","168.790","152.576","5.41M","2.84%"
"Oct 07, 2021","154.209","153.883","161.162","150.530","4.96M","0.20%"
"Oct 06, 2021","153.895","164.617","165.357","150.266","6.64M","-6.51%"
"Oct 05, 2021","164.619","167.121","170.109","160.188","4.88M","-1.49%"
"Oct 04, 2021","167.116","173.021","173.021","162.503","5.75M","-3.26%"
"Oct 03, 2021","172.745","169.074","177.359","165.891","5.56M","2.17%"
"Oct 02, 2021","169.080","161.623","174.889","156.773","6.76M","4.61%"
"Oct 01, 2021","161.623","141.366","164.871","138.352","8.96M","14.33%"
"Sep 30, 2021","141.360","135.294","142.798","134.131","4.83M","4.49%"
"Sep 29, 2021","135.283","132.222","140.002","131.232","5.31M","2.41%"
"Sep 28, 2021","132.104","136.372","139.386","128.210","5.25M","-3.13%"
"Sep 27, 2021","136.374","135.724","148.787","133.766","6.92M","0.46%"
"Sep 26, 2021","135.753","136.075","140.609","124.982","5.83M","-0.25%"
"Sep 25, 2021","136.086","139.257","143.961","133.589","4.38M","-2.28%"
"Sep 24, 2021","139.268","149.945","151.009","128.404","9.67M","-7.07%"
"Sep 23, 2021","149.870","148.013","152.310","143.083","7.40M","1.23%"
"Sep 22, 2021","148.048","123.967","151.446","122.272","12.06M","19.51%"
"Sep 21, 2021","123.881","132.701","144.496","116.135","14.26M","-6.51%"
"Sep 20, 2021","132.502","152.742","153.305","131.023","14.72M","-13.23%"
"Sep 19, 2021","152.704","169.289","170.852","150.914","7.32M","-9.86%"
"Sep 18, 2021","169.399","147.447","171.309","144.269","12.19M","14.91%"
"Sep 17, 2021","147.416","152.215","153.253","134.717","11.39M","-3.15%"
"Sep 16, 2021","152.211","158.648","163.008","147.493","6.80M","-4.04%"
"Sep 15, 2021","158.619","158.507","166.246","154.057","8.72M","0.39%"
"Sep 14, 2021","158.000","169.470","171.540","143.200","12.22M","-6.77%"
"Sep 13, 2021","169.470","174.370","175.000","150.540","12.52M","-2.81%"
"Sep 12, 2021","174.370","178.350","181.500","170.810","-","-2.23%"
"Sep 11, 2021","178.350","179.150","192.930","175.551","-","-0.45%"
"Sep 10, 2021","179.150","192.100","197.100","170.000","-","-6.74%"
"Sep 09, 2021","192.100","190.690","215.511","182.000","-","0.74%"
"Sep 08, 2021","190.690","173.030","198.040","146.530","-","10.21%"
"Sep 07, 2021","173.030","164.590","195.000","130.000","-","5.40%"
"Sep 06, 2021","164.170","142.130","165.859","137.390","-","15.51%"
"Sep 05, 2021","142.130","139.090","145.140","135.140","-","2.19%"
"Sep 04, 2021","139.090","146.140","150.670","136.120","-","-4.82%"
"Sep 03, 2021","146.140","128.071","148.890","128.071","-","14.11%"
"Sep 02, 2021","128.071","111.060","131.800","109.670","-","15.32%"
"Sep 01, 2021","111.060","108.320","119.500","106.180","-","2.53%"
"Aug 31, 2021","108.320","110.241","130.030","103.580","-","-1.74%"
"Aug 30, 2021","110.241","94.200","116.250","93.800","-","17.03%"
"Aug 29, 2021","94.200","96.720","97.840","90.623","-","-2.61%"
"Aug 28, 2021","96.720","87.970","97.710","85.731","-","9.95%"
"Aug 27, 2021","87.970","75.169","88.760","73.179","-","17.03%"
"Aug 26, 2021","75.169","72.056","78.051","66.372","-","4.32%"
"Aug 25, 2021","72.056","70.671","72.535","66.350","-","1.96%"
"Aug 24, 2021","70.671","75.553","79.343","68.486","-","-6.46%"
"Aug 23, 2021","75.553","72.846","77.846","71.719","-","3.72%"
"Aug 22, 2021","72.846","73.907","77.507","71.540","-","-1.44%"
"Aug 21, 2021","73.907","78.714","81.953","72.715","-","-6.11%"
"Aug 20, 2021","78.714","72.700","79.900","70.987","-","8.27%"
"Aug 19, 2021","72.700","72.578","75.307","68.771","-","0.17%"
"Aug 18, 2021","72.578","64.000","80.483","60.019","-","13.40%"
"Aug 17, 2021","64.000","62.137","100.000","59.998","-","3.00%"
"Aug 16, 2021","62.137","53.714","68.743","52.451","-","15.68%"
"Aug 15, 2021","53.714","44.043","54.590","43.462","-","21.96%"
"Aug 14, 2021","44.043","44.821","44.821","42.828","-","-1.74%"
"Aug 13, 2021","44.821","41.100","44.821","40.785","-","9.05%"
"Aug 12, 2021","41.100","41.792","43.323","39.433","-","-1.66%"
"Aug 11, 2021","41.792","40.596","43.631","40.596","-","2.95%"
"Aug 10, 2021","40.596","38.722","41.686","38.278","-","4.84%"
"Aug 09, 2021","38.722","37.668","39.925","36.304","-","2.80%"
"Aug 08, 2021","37.668","39.426","39.494","36.972","-","-4.46%"
"Aug 07, 2021","39.426","39.497","40.405","37.633","-","-0.18%"
"Aug 06, 2021","39.497","37.408","40.362","35.750","-","5.58%"
"Aug 05, 2021","37.408","35.706","38.169","35.596","-","4.77%"
"Aug 04, 2021","35.706","33.960","36.600","33.326","-","5.14%"
"Aug 03, 2021","33.960","33.169","35.762","32.200","-","2.38%"
"Aug 02, 2021","33.169","34.276","35.837","33.098","-","-3.23%"
"Aug 01, 2021","34.276","36.709","36.752","33.500","-","-6.63%"
"Jul 31, 2021","36.709","32.356","36.796","31.800","-","13.45%"
"Jul 30, 2021","32.356","31.268","33.009","30.086","-","3.48%"
"Jul 29, 2021","31.268","27.857","31.912","27.374","-","12.24%"
"Jul 28, 2021","27.857","28.018","28.620","27.500","-","-0.57%"
"Jul 27, 2021","28.018","28.251","28.886","27.000","-","-0.82%"
"Jul 26, 2021","28.251","28.133","31.039","27.952","-","0.42%"
"Jul 25, 2021","28.133","27.868","28.133","26.595","-","-2.04%"
"Jul 24, 2021","28.720","28.470","29.400","28.328","-","0.88%"
"Jul 23, 2021","28.470","27.748","28.655","26.420","-","2.60%"
"Jul 22, 2021","27.748","26.641","28.050","26.003","-","4.16%"
"Jul 21, 2021","26.641","23.482","27.353","22.846","-","13.45%"
"Jul 20, 2021","23.482","24.495","24.912","22.230","-","-4.14%"
"Jul 19, 2021","24.495","26.726","26.726","24.059","-","-8.35%"
"Jul 18, 2021","26.726","26.715","27.725","26.340","-","0.04%"
"Jul 17, 2021","26.715","26.307","27.745","26.035","-","1.55%"
"Jul 16, 2021","26.307","28.456","29.401","26.274","-","-7.55%"
"Jul 15, 2021","28.456","31.259","31.426","28.080","-","-8.97%"
"Jul 14, 2021","31.259","29.052","31.393","27.513","-","7.60%"
"Jul 13, 2021","29.052","30.880","30.995","29.000","-","-5.92%"
"Jul 12, 2021","30.880","32.115","32.600","30.102","-","-3.85%"
"Jul 11, 2021","32.115","31.730","32.454","31.464","-","1.21%"
"Jul 10, 2021","31.730","33.364","34.192","31.100","-","-4.90%"
"Jul 09, 2021","33.364","33.258","34.381","32.287","-","1.40%"
"Jul 08, 2021","32.902","36.537","36.772","32.864","-","-9.95%"
"Jul 07, 2021","36.537","34.196","37.904","34.196","-","8.60%"
"Jul 06, 2021","33.643","32.966","34.443","32.966","-","2.05%"
"Jul 05, 2021","32.966","34.360","34.360","32.594","-","-4.06%"
"Jul 04, 2021","34.360","35.055","35.295","34.299","-","-1.27%"
"Jul 03, 2021","34.801","34.000","35.261","33.357","-","2.36%"
"Jul 02, 2021","34.000","33.375","34.000","31.655","-","1.87%"
"Jul 01, 2021","33.375","35.536","36.115","32.000","-","-6.08%"
"Jun 30, 2021","35.536","33.885","35.861","31.315","-","4.87%"
"Jun 29, 2021","33.885","32.990","35.500","32.834","-","2.71%"
"Jun 28, 2021","32.990","31.821","33.745","31.155","-","3.67%"
"Jun 27, 2021","31.821","29.554","31.821","29.428","-","7.67%"
"Jun 26, 2021","29.554","28.797","29.878","26.998","-","2.63%"
"Jun 25, 2021","28.797","31.245","32.684","28.530","-","-7.83%"
"Jun 24, 2021","31.245","30.855","32.446","28.678","-","1.26%"
"Jun 23, 2021","30.855","26.685","32.090","26.042","-","15.63%"
"Jun 22, 2021","26.685","26.601","28.233","20.472","-","0.32%"
"Jun 21, 2021","26.601","35.320","35.799","26.080","-","-24.69%"
"Jun 20, 2021","35.320","35.283","35.701","31.500","-","0.10%"
"Jun 19, 2021","35.283","36.650","37.062","35.097","-","-3.73%"
"Jun 18, 2021","36.650","38.824","39.216","35.515","-","-6.98%"
"Jun 17, 2021","39.400","39.334","41.317","38.472","-","0.17%"
"Jun 16, 2021","39.334","39.592","40.925","37.780","-","-0.65%"
"Jun 15, 2021","39.592","39.703","41.339","39.554","-","-0.28%"
"Jun 14, 2021","39.703","38.806","40.168","36.931","-","2.31%"
"Jun 13, 2021","38.806","36.402","39.180","35.316","-","6.60%"
"Jun 12, 2021","36.402","36.012","37.500","34.453","-","1.08%"
"Jun 11, 2021","36.012","41.124","41.124","35.500","-","-12.43%"
"Jun 10, 2021","41.124","42.041","42.901","39.869","-","-2.18%"
"Jun 09, 2021","42.041","41.340","43.864","39.668","-","1.70%"
"Jun 08, 2021","41.340","38.272","42.287","33.824","-","8.02%"
"Jun 07, 2021","38.272","42.209","43.910","38.272","-","-9.33%"
"Jun 06, 2021","42.209","39.559","43.208","39.092","-","6.70%"
"Jun 05, 2021","39.559","37.435","42.252","37.435","-","5.67%"
"Jun 04, 2021","37.435","39.461","39.461","34.661","-","-5.13%"
"Jun 03, 2021","39.461","34.009","40.993","34.009","-","16.03%"
"Jun 02, 2021","34.009","31.002","34.486","30.552","-","9.70%"
"Jun 01, 2021","31.002","32.724","32.741","30.246","-","-5.26%"
"May 31, 2021","32.724","28.519","32.812","27.000","-","14.74%"
"May 30, 2021","28.519","26.900","29.485","25.825","-","6.02%"
"May 29, 2021","26.900","29.087","29.677","25.873","-","-7.52%"
"May 28, 2021","29.087","33.517","34.075","28.513","-","-13.22%"
"May 27, 2021","33.517","35.500","35.500","31.526","-","-5.59%"
"May 26, 2021","35.500","29.944","36.311","29.450","-","18.55%"
"May 25, 2021","29.944","30.637","32.604","26.383","-","-2.26%"
"May 24, 2021","30.637","24.611","32.080","24.611","-","24.48%"
"May 23, 2021","24.611","23.700","25.854","19.800","-","-42.21%"
"Apr 30, 2021","42.586","42.614","42.614","42.586","-","-0.12%"
"Apr 29, 2021","42.637","44.970","45.365","41.762","-","-5.19%"
"Apr 28, 2021","44.970","43.253","46.245","41.448","-","3.97%"
"Apr 27, 2021","43.253","44.500","46.167","42.830","-","-2.80%"
"Apr 26, 2021","44.500","47.466","48.360","43.504","-","-6.25%"
"Apr 25, 2021","47.466","40.849","48.085","40.000","-","16.20%"
"Apr 24, 2021","40.849","36.006","42.060","35.135","-","13.45%"
"Apr 23, 2021","36.006","39.015","41.000","31.000","-","-7.71%"
"Apr 22, 2021","39.015","32.536","40.262","32.536","-","19.91%"
"Apr 21, 2021","32.536","31.752","34.819","30.549","-","2.47%"
"Apr 20, 2021","31.752","28.800","32.232","26.000","-","10.25%"
"Apr 19, 2021","28.800","28.300","35.497","28.300","-","1.77%"
"Apr 18, 2021","28.300","25.096","32.980","22.698","-","12.77%"
"Apr 17, 2021","25.096","25.342","26.497","25.096","-","-0.97%"
"Apr 16, 2021","25.342","27.001","27.891","25.096","-","-6.15%"
"Apr 15, 2021","27.001","26.465","27.626","25.400","-","2.03%"
"Apr 14, 2021","26.465","27.750","31.000","24.962","-","-4.63%"
"Apr 13, 2021","27.750","28.547","29.500","25.274","-","-2.79%"
"Apr 12, 2021","28.547","27.812","29.450","27.043","-","2.64%"
"Apr 11, 2021","27.812","26.790","28.471","25.726","-","3.81%"
"Apr 10, 2021","26.790","27.377","27.377","26.046","-","-3.37%"
"Apr 08, 2021","27.723","26.478","29.000","23.500","-","4.70%"
"Apr 07, 2021","26.478","24.971","27.304","23.364","-","6.04%"
"Apr 06, 2021","24.971","22.957","24.994","21.913","-","8.77%"
"Apr 05, 2021","22.957","23.876","24.463","22.906","-","-3.85%"
"Apr 04, 2021","23.876","22.466","25.308","22.278","-","6.28%"
"Apr 03, 2021","22.466","19.749","23.397","19.749","-","13.75%"
"Apr 02, 2021","19.749","19.070","19.749","18.612","-","3.56%"
"Apr 01, 2021","19.070","19.437","20.600","18.660","-","-1.89%"
"Mar 31, 2021","19.437","19.156","19.677","18.534","-","1.47%"
"Mar 30, 2021","19.156","18.878","21.400","18.878","-","1.47%"
"Mar 29, 2021","18.878","18.220","18.909","17.715","-","3.61%"
"Mar 28, 2021","18.220","16.506","24.400","16.347","-","10.38%"
"Mar 27, 2021","16.506","14.750","16.527","14.750","-","11.91%"
"Mar 26, 2021","14.750","12.988","14.750","12.422","-","13.56%"
"Mar 25, 2021","12.988","13.629","13.629","12.679","-","-4.70%"
"Mar 24, 2021","13.629","14.184","15.257","13.628","-","-3.98%"
"Mar 23, 2021","14.193","14.888","15.194","14.193","-","-4.67%"
"Mar 22, 2021","14.888","14.180","16.540","14.180","-","5.00%"
"Mar 21, 2021","14.180","14.270","14.300","13.714","-","-0.63%"
"Mar 20, 2021","14.270","14.287","14.838","14.202","-","-0.12%"
"Mar 19, 2021","14.287","14.328","14.437","14.034","-","-0.28%"
"Mar 18, 2021","14.328","13.990","14.703","13.990","-","2.41%"
"Mar 17, 2021","13.990","13.805","14.200","13.367","-","1.34%"
"Mar 16, 2021","13.805","14.280","14.280","13.300","-","-3.33%"
"Mar 15, 2021","14.280","14.555","14.700","13.808","-","-1.89%"
"Mar 14, 2021","14.555","15.370","15.370","14.380","-","-5.31%"
"Mar 13, 2021","15.370","14.552","15.370","13.896","-","5.62%"
"Mar 12, 2021","14.552","15.987","16.454","14.360","-","-8.98%"
"Mar 11, 2021","15.987","14.235","16.339","13.740","-","12.31%"
"Mar 10, 2021","14.235","14.860","14.860","14.134","-","-4.21%"
"Mar 09, 2021","14.860","13.598","14.973","13.361","-","9.29%"
"Mar 08, 2021","13.598","13.791","13.837","13.072","-","-1.40%"
"Mar 07, 2021","13.791","12.924","13.949","12.717","-","6.71%"
"Mar 06, 2021","12.924","12.572","13.162","11.990","-","2.80%"
"Mar 05, 2021","12.572","13.112","13.112","12.218","-","-4.12%"
"Mar 04, 2021","13.112","14.131","14.142","12.806","-","-7.21%"
"Mar 03, 2021","14.131","13.975","14.562","13.846","-","1.12%"
"Mar 02, 2021","13.974","14.983","15.182","13.522","-","-6.73%"
"Mar 01, 2021","14.983","13.063","15.378","13.063","-","14.70%"
"Feb 28, 2021","13.063","13.215","13.658","11.572","-","-1.15%"
"Feb 27, 2021","13.215","13.576","14.450","13.157","-","-2.66%"
"Feb 26, 2021","13.576","14.000","15.352","13.368","-","-3.03%"
"Feb 25, 2021","14.000","17.167","17.616","14.000","-","-18.45%"
"Feb 24, 2021","17.167","15.089","20.000","14.000","-","13.77%"
"Feb 23, 2021","15.089","14.512","16.110","12.003","-","3.97%"
"Feb 22, 2021","14.512","11.074","14.512","9.780","-","31.05%"
"Feb 21, 2021","11.074","10.005","11.495","10.005","-","10.68%"
"Feb 20, 2021","10.005","11.444","11.444","9.924","-","-12.57%"
"Feb 19, 2021","11.444","8.984","11.499","8.644","-","27.38%"
"Feb 18, 2021","8.984","8.236","9.170","8.236","-","9.09%"
"Feb 17, 2021","8.236","8.300","8.410","7.634","-","-0.77%"
"Feb 16, 2021","8.300","8.846","8.899","8.081","-","-6.17%"
"Feb 15, 2021","8.846","8.735","9.290","7.904","-","1.27%"
"Feb 14, 2021","8.735","8.669","9.116","8.604","-","0.76%"
"Feb 13, 2021","8.669","9.210","9.488","8.669","-","-5.87%"
"Feb 12, 2021","9.210","9.185","9.914","9.080","-","0.27%"
"Feb 11, 2021","9.185","8.950","10.100","8.875","-","2.63%"
"Feb 10, 2021","8.950","7.836","9.060","7.557","-","14.21%"
"Feb 09, 2021","7.836","7.879","8.444","7.654","-","-0.54%"
"Feb 08, 2021","7.879","6.704","8.039","6.498","-","17.53%"
"Feb 07, 2021","6.704","6.120","6.846","5.817","-","9.54%"
"Feb 06, 2021","6.120","6.500","6.890","5.788","-","-5.85%"
"Feb 05, 2021","6.500","6.421","7.077","4.848","-","1.25%"
"Feb 04, 2021","6.420","5.722","6.511","5.610","-","12.26%"
"Feb 03, 2021","5.719","5.257","5.770","5.097","-","8.77%"
"Feb 02, 2021","5.257","4.622","5.335","4.489","-","13.75%"
"Feb 01, 2021","4.622","4.268","4.622","4.128","-","8.29%"
"Jan 31, 2021","4.268","4.232","4.781","4.197","-","0.86%"
"Jan 30, 2021","4.232","3.842","4.271","3.797","-","10.15%"
"Jan 29, 2021","3.842","3.819","3.871","3.638","-","0.60%"
"Jan 28, 2021","3.819","3.688","3.907","3.620","-","3.54%"
"Jan 27, 2021","3.688","4.037","4.037","3.652","-","-8.64%"
"Jan 26, 2021","4.037","3.720","4.062","3.714","-","8.53%"
"Jan 25, 2021","3.720","3.624","3.953","3.473","-","2.64%"
"Jan 24, 2021","3.624","3.501","3.780","3.501","-","3.51%"
"Jan 23, 2021","3.501","3.339","3.583","3.328","-","4.85%"
